ID,Avaliacao,Comentario,DataPublicacao
455,1,"Tive que repetir a pergunta várias vezes.",2023-12-04
456,4,"Consegui o que precisava sem dificuldades.",2023-08-27
457,5,"A experiência foi excelente, muito prestativo!",2023-07-09
458,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-07-08
459,3,"Satisfeito, mas poderia ser mais detalhado.",2023-02-27
460,5,"Muito satisfeito com o atendimento.",2023-03-13
461,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-05-09
462,5,"A experiência foi excelente, muito prestativo!",2023-10-25
463,1,"A resposta estava incompleta e não foi útil.",2023-10-05
464,3,"Ajudou no geral, mas não foi perfeito.",2023-04-15
465,4,"Foi bem útil e quase perfeito.",2023-03-20
466,3,"A resposta foi clara, mas faltaram exemplos.",2023-06-23
467,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-06-22
468,2,"Respondeu parcialmente, mas não o suficiente.",2023-01-15
469,1,"Não resolveu meu problema.",2023-10-12
470,5,"Resposta clara e completa, me ajudou muito.",2023-04-12
471,5,"Impressionante, respondeu tudo com clareza.",2023-05-14
472,3,"A resposta foi clara, mas faltaram exemplos.",2023-06-07
473,5,"Resposta clara e completa, me ajudou muito.",2023-02-20
474,4,"A resposta foi bem explicada e direta.",2023-04-22
475,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-01-18
476,5,"A experiência foi excelente, muito prestativo!",2023-03-15
477,4,"Consegui o que precisava sem dificuldades.",2023-02-10
478,1,"A resposta estava incompleta e não foi útil.",2023-09-05
479,5,"Resposta clara e completa, me ajudou muito.",2023-01-26
480,3,"Ajudou no geral, mas não foi perfeito.",2023-05-09
481,5,"Achei a resposta perfeita e esclarecedora.",2023-06-12
482,4,"A resposta foi bem explicada e direta.",2023-08-02
483,3,"Ajudou no geral, mas não foi perfeito.",2023-06-20
484,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-05-06
485,3,"A resposta foi clara, mas faltaram exemplos.",2023-11-02
486,2,"A resposta foi um pouco confusa.",2023-12-23
487,4,"A resposta foi bem explicada e direta.",2023-12-03
488,5,"Muito satisfeito com o atendimento.",2023-02-10
489,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-01-22
490,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-05-17
491,5,"Resposta clara e completa, me ajudou muito.",2023-05-25
492,5,"Achei a resposta perfeita e esclarecedora.",2023-04-16
493,3,"Satisfeito, mas poderia ser mais detalhado.",2023-12-09
494,4,"A resposta foi bem explicada e direta.",2023-07-31
495,5,"Achei a resposta perfeita e esclarecedora.",2023-08-06
496,5,"Muito satisfeito com o atendimento.",2023-07-15
497,3,"A resposta foi clara, mas faltaram exemplos.",2023-06-26
498,1,"Não consegui encontrar o que precisava.",2023-08-20
499,4,"Consegui o que precisava sem dificuldades.",2023-10-29
500,4,"Gostei, mas poderia ter mais informações.",2023-09-30
501,4,"A resposta foi bem explicada e direta.",2023-03-09
502,5,"Muito satisfeito com o atendimento.",2023-04-26
503,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-09-23
504,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-01-19
505,4,"Foi bem útil e quase perfeito.",2023-10-01
506,1,"A resposta estava incompleta e não foi útil.",2023-03-20
507,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-24
508,4,"O assistente é bom e prestativo.",2023-02-19
509,1,"Tive que repetir a pergunta várias vezes.",2023-12-16
510,3,"A resposta foi clara, mas faltaram exemplos.",2023-11-20
511,2,"Foi útil em partes, mas faltou precisão.",2023-07-15
512,1,"A resposta estava incompleta e não foi útil.",2023-06-21
513,1,"Tive que repetir a pergunta várias vezes.",2023-01-12
514,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-09-16
515,3,"Consegui entender, mas tive que pesquisar mais.",2023-06-26
516,3,"Ajudou no geral, mas não foi perfeito.",2023-01-19
517,5,"Muito satisfeito com o atendimento.",2023-04-04
518,5,"Achei a resposta perfeita e esclarecedora.",2023-12-19
519,3,"Consegui entender, mas tive que pesquisar mais.",2023-01-10
520,1,"Não resolveu meu problema.",2023-06-14
521,3,"A resposta foi clara, mas faltaram exemplos.",2023-11-28
522,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-01-21
523,1,"Não resolveu meu problema.",2023-07-14
524,2,"A resposta foi um pouco confusa.",2023-01-13
525,5,"A experiência foi excelente, muito prestativo!",2023-05-26
526,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-11-09
527,4,"Foi bem útil e quase perfeito.",2023-09-29
528,4,"Foi bem útil e quase perfeito.",2023-08-10
529,2,"Esperava uma ajuda mais aprofundada.",2023-08-29
530,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-12-14
531,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-10-04
532,1,"Tive que repetir a pergunta várias vezes.",2023-04-03
533,2,"Respondeu parcialmente, mas não o suficiente.",2023-09-16
534,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-10-03
535,4,"Consegui o que precisava sem dificuldades.",2023-12-08
536,4,"A resposta foi bem explicada e direta.",2023-03-14
537,2,"A resposta foi um pouco confusa.",2023-06-08
538,2,"A resposta foi um pouco confusa.",2023-05-21
539,1,"Não resolveu meu problema.",2023-06-08
540,1,"Não consegui encontrar o que precisava.",2023-02-22
541,2,"Foi útil em partes, mas faltou precisão.",2023-07-28
542,4,"Gostei, mas poderia ter mais informações.",2023-10-07
543,2,"Respondeu parcialmente, mas não o suficiente.",2023-02-25
544,2,"Respondeu parcialmente, mas não o suficiente.",2023-09-14
545,5,"Achei a resposta perfeita e esclarecedora.",2023-08-24
546,3,"Ajudou no geral, mas não foi perfeito.",2023-12-27
547,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-07-09
548,1,"Não consegui encontrar o que precisava.",2023-02-14
549,5,"Achei a resposta perfeita e esclarecedora.",2023-11-09
550,4,"Consegui o que precisava sem dificuldades.",2023-04-28
551,1,"Tive que repetir a pergunta várias vezes.",2023-01-10
552,1,"Não resolveu meu problema.",2023-10-01
553,4,"Consegui o que precisava sem dificuldades.",2023-10-01
554,4,"Foi bem útil e quase perfeito.",2023-11-08
555,3,"A resposta foi clara, mas faltaram exemplos.",2023-11-02
556,4,"Consegui o que precisava sem dificuldades.",2023-10-21
557,3,"A resposta foi clara, mas faltaram exemplos.",2023-08-11
558,3,"Satisfeito, mas poderia ser mais detalhado.",2023-07-31
559,4,"A resposta foi bem explicada e direta.",2023-12-03
560,3,"Satisfeito, mas poderia ser mais detalhado.",2023-12-24
561,5,"Muito satisfeito com o atendimento.",2023-07-13
562,2,"Foi útil em partes, mas faltou precisão.",2023-06-30
563,2,"Foi útil em partes, mas faltou precisão.",2023-10-03
564,1,"Não consegui encontrar o que precisava.",2023-05-30
565,5,"Muito satisfeito com o atendimento.",2023-11-01
566,4,"Foi bem útil e quase perfeito.",2023-12-09
567,4,"Foi bem útil e quase perfeito.",2023-04-29
568,3,"Consegui entender, mas tive que pesquisar mais.",2023-05-10
569,1,"A resposta estava incompleta e não foi útil.",2023-09-11
570,2,"A resposta foi um pouco confusa.",2023-02-13
571,5,"A experiência foi excelente, muito prestativo!",2023-02-22
572,4,"O assistente é bom e prestativo.",2023-05-25
573,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-02-02
574,5,"Muito satisfeito com o atendimento.",2023-06-13
575,2,"Esperava uma ajuda mais aprofundada.",2023-07-18
576,1,"Tive que repetir a pergunta várias vezes.",2023-11-12
577,1,"A resposta estava incompleta e não foi útil.",2023-10-25
578,5,"Achei a resposta perfeita e esclarecedora.",2023-10-14
579,2,"Foi útil em partes, mas faltou precisão.",2023-12-11
580,3,"Ajudou no geral, mas não foi perfeito.",2023-11-19
581,2,"Esperava uma ajuda mais aprofundada.",2023-07-05
582,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-10-05
583,5,"Impressionante, respondeu tudo com clareza.",2023-08-17
584,5,"A experiência foi excelente, muito prestativo!",2023-01-10
585,3,"A resposta foi clara, mas faltaram exemplos.",2023-02-27
586,4,"Foi bem útil e quase perfeito.",2023-09-10
587,3,"Ajudou no geral, mas não foi perfeito.",2023-08-26
588,2,"Foi útil em partes, mas faltou precisão.",2023-07-18
589,4,"O assistente é bom e prestativo.",2023-01-14
590,1,"Não consegui encontrar o que precisava.",2023-05-22
591,5,"Resposta clara e completa, me ajudou muito.",2023-09-10
592,4,"Foi bem útil e quase perfeito.",2023-04-04
593,4,"A resposta foi bem explicada e direta.",2023-06-27
594,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-10-30
595,1,"Tive que repetir a pergunta várias vezes.",2023-12-24
596,4,"A resposta foi bem explicada e direta.",2023-08-16
597,1,"Tive que repetir a pergunta várias vezes.",2023-04-11
598,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-01-10
599,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-07-28
600,5,"Muito satisfeito com o atendimento.",2023-05-06
601,2,"Respondeu parcialmente, mas não o suficiente.",2023-11-29
602,2,"Respondeu parcialmente, mas não o suficiente.",2023-07-07
603,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-12-22
604,5,"A experiência foi excelente, muito prestativo!",2023-11-19
605,2,"A resposta foi um pouco confusa.",2023-12-30
606,3,"A resposta foi clara, mas faltaram exemplos.",2023-06-26
607,2,"Esperava uma ajuda mais aprofundada.",2023-05-03
608,2,"Respondeu parcialmente, mas não o suficiente.",2023-06-21
609,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-04-21
610,5,"A experiência foi excelente, muito prestativo!",2023-04-14
611,3,"Satisfeito, mas poderia ser mais detalhado.",2023-02-27
612,5,"Muito satisfeito com o atendimento.",2023-05-29
613,5,"A experiência foi excelente, muito prestativo!",2023-05-15
614,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-08-05
615,3,"Consegui entender, mas tive que pesquisar mais.",2023-12-20
616,1,"Tive que repetir a pergunta várias vezes.",2023-03-21
617,1,"Não consegui encontrar o que precisava.",2023-04-27
618,5,"Resposta clara e completa, me ajudou muito.",2023-07-04
619,1,"Tive que repetir a pergunta várias vezes.",2023-02-19
620,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-07-18
621,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-11-12
622,1,"A resposta estava incompleta e não foi útil.",2023-07-11
623,2,"Esperava uma ajuda mais aprofundada.",2023-05-01
624,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-03-12
625,5,"Resposta clara e completa, me ajudou muito.",2023-05-03
626,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-11-24
627,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-04-11
628,4,"Foi bem útil e quase perfeito.",2023-02-26
629,2,"Respondeu parcialmente, mas não o suficiente.",2023-01-03
630,2,"A resposta foi um pouco confusa.",2023-03-06
631,2,"Respondeu parcialmente, mas não o suficiente.",2023-12-06
632,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-03-08
633,2,"A resposta foi um pouco confusa.",2023-04-30
634,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-03-31
635,3,"Satisfeito, mas poderia ser mais detalhado.",2023-05-15
636,3,"Satisfeito, mas poderia ser mais detalhado.",2023-11-27
637,4,"O assistente é bom e prestativo.",2023-09-16
638,2,"Esperava uma ajuda mais aprofundada.",2023-12-09
639,5,"Muito satisfeito com o atendimento.",2023-02-02
640,2,"Foi útil em partes, mas faltou precisão.",2023-07-13
641,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-05-31
642,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-06-10
643,3,"Consegui entender, mas tive que pesquisar mais.",2023-02-22
644,4,"Gostei, mas poderia ter mais informações.",2023-06-03
645,3,"A resposta foi clara, mas faltaram exemplos.",2023-10-05
646,3,"Ajudou no geral, mas não foi perfeito.",2023-09-27
647,5,"A experiência foi excelente, muito prestativo!",2023-04-25
648,5,"A experiência foi excelente, muito prestativo!",2023-03-18
649,1,"Tive que repetir a pergunta várias vezes.",2023-03-31
650,5,"Resposta clara e completa, me ajudou muito.",2023-02-25
651,3,"A resposta foi clara, mas faltaram exemplos.",2023-12-08
652,3,"Ajudou no geral, mas não foi perfeito.",2023-04-28
653,4,"Consegui o que precisava sem dificuldades.",2023-08-25
654,3,"Consegui entender, mas tive que pesquisar mais.",2023-12-15
655,2,"Foi útil em partes, mas faltou precisão.",2023-11-08
656,4,"Foi bem útil e quase perfeito.",2023-11-29
657,5,"A experiência foi excelente, muito prestativo!",2023-08-03
658,5,"Achei a resposta perfeita e esclarecedora.",2023-11-23
659,3,"Ajudou no geral, mas não foi perfeito.",2023-01-18
660,3,"Consegui entender, mas tive que pesquisar mais.",2023-05-28
661,5,"Impressionante, respondeu tudo com clareza.",2023-07-17
662,1,"Não consegui encontrar o que precisava.",2023-02-03
663,5,"Muito satisfeito com o atendimento.",2023-04-28
664,2,"Foi útil em partes, mas faltou precisão.",2023-10-04
665,3,"Consegui entender, mas tive que pesquisar mais.",2023-09-19
666,2,"Esperava uma ajuda mais aprofundada.",2023-10-03
667,1,"Tive que repetir a pergunta várias vezes.",2023-10-30
668,2,"Respondeu parcialmente, mas não o suficiente.",2023-10-26
669,4,"Gostei, mas poderia ter mais informações.",2023-03-13
670,4,"Foi bem útil e quase perfeito.",2023-01-13
671,1,"Não consegui encontrar o que precisava.",2023-07-28
672,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-02-12
673,2,"Respondeu parcialmente, mas não o suficiente.",2023-12-25
674,5,"Resposta clara e completa, me ajudou muito.",2023-01-11
675,5,"Resposta clara e completa, me ajudou muito.",2023-04-17
676,5,"A experiência foi excelente, muito prestativo!",2023-08-29
677,4,"Consegui o que precisava sem dificuldades.",2023-05-23
678,5,"Achei a resposta perfeita e esclarecedora.",2023-06-04
679,4,"O assistente é bom e prestativo.",2023-10-03
680,5,"Muito satisfeito com o atendimento.",2023-10-22
681,2,"A resposta foi um pouco confusa.",2023-11-24
682,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-01-06
683,5,"Impressionante, respondeu tudo com clareza.",2023-12-23
684,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-12-16
685,3,"A resposta foi clara, mas faltaram exemplos.",2023-01-21
686,4,"Gostei, mas poderia ter mais informações.",2023-04-23
687,2,"Respondeu parcialmente, mas não o suficiente.",2023-03-19
688,1,"A resposta estava incompleta e não foi útil.",2023-07-05
689,5,"Achei a resposta perfeita e esclarecedora.",2023-12-04
690,1,"Tive que repetir a pergunta várias vezes.",2023-01-13
691,4,"O assistente é bom e prestativo.",2023-12-11
692,4,"Foi bem útil e quase perfeito.",2023-05-13
693,1,"Tive que repetir a pergunta várias vezes.",2023-06-02
694,4,"A resposta foi bem explicada e direta.",2023-07-05
695,4,"Gostei, mas poderia ter mais informações.",2023-02-03
696,2,"Foi útil em partes, mas faltou precisão.",2023-03-30
697,4,"Gostei, mas poderia ter mais informações.",2023-04-26
698,1,"Tive que repetir a pergunta várias vezes.",2023-11-28
699,4,"Foi bem útil e quase perfeito.",2023-03-12
700,4,"O assistente é bom e prestativo.",2023-07-29
701,5,"Achei a resposta perfeita e esclarecedora.",2023-10-02
702,1,"Não resolveu meu problema.",2023-11-17
703,2,"Foi útil em partes, mas faltou precisão.",2023-02-03
704,5,"Resposta clara e completa, me ajudou muito.",2023-11-12
705,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-09-06
706,4,"Consegui o que precisava sem dificuldades.",2023-04-01
707,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-11-07
708,5,"A experiência foi excelente, muito prestativo!",2023-05-18
709,1,"Tive que repetir a pergunta várias vezes.",2023-12-20
710,5,"Impressionante, respondeu tudo com clareza.",2023-10-24
711,3,"Consegui entender, mas tive que pesquisar mais.",2023-03-28
712,3,"Satisfeito, mas poderia ser mais detalhado.",2023-11-20
713,5,"Muito satisfeito com o atendimento.",2023-02-08
714,2,"Respondeu parcialmente, mas não o suficiente.",2023-04-11
715,1,"Tive que repetir a pergunta várias vezes.",2023-03-30
716,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-07-11
717,2,"Respondeu parcialmente, mas não o suficiente.",2023-08-12
718,4,"Gostei, mas poderia ter mais informações.",2023-03-03
719,4,"Consegui o que precisava sem dificuldades.",2023-05-04
720,2,"Esperava uma ajuda mais aprofundada.",2023-05-02
721,2,"Foi útil em partes, mas faltou precisão.",2023-03-31
722,2,"A resposta foi um pouco confusa.",2023-06-02
723,4,"Consegui o que precisava sem dificuldades.",2023-08-09
724,3,"Consegui entender, mas tive que pesquisar mais.",2023-01-16
725,4,"Gostei, mas poderia ter mais informações.",2023-04-05
726,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-10-16
727,5,"Achei a resposta perfeita e esclarecedora.",2023-06-08
728,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-08-15
729,2,"Foi útil em partes, mas faltou precisão.",2023-10-20
730,1,"Tive que repetir a pergunta várias vezes.",2023-05-22
731,1,"Não resolveu meu problema.",2023-03-07
732,4,"Consegui o que precisava sem dificuldades.",2023-03-05
733,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-07-16
734,4,"A resposta foi bem explicada e direta.",2023-02-02
735,3,"Consegui entender, mas tive que pesquisar mais.",2023-12-03
736,2,"Respondeu parcialmente, mas não o suficiente.",2023-07-23
737,4,"O assistente é bom e prestativo.",2023-02-09
738,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-11-09
739,1,"A resposta estava incompleta e não foi útil.",2023-10-21
740,2,"A resposta foi um pouco confusa.",2023-11-23
741,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-06-06
742,3,"Consegui entender, mas tive que pesquisar mais.",2023-06-28
743,4,"Consegui o que precisava sem dificuldades.",2023-06-11
744,4,"O assistente é bom e prestativo.",2023-11-28
745,2,"Esperava uma ajuda mais aprofundada.",2023-06-02
746,5,"Muito satisfeito com o atendimento.",2023-10-18
747,2,"A resposta foi um pouco confusa.",2023-08-29
748,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-05-16
749,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-09
750,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-11-27
751,1,"Não consegui encontrar o que precisava.",2023-10-15
752,3,"A resposta foi clara, mas faltaram exemplos.",2023-04-15
753,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-04-14
754,5,"A experiência foi excelente, muito prestativo!",2023-07-12
755,1,"A resposta estava incompleta e não foi útil.",2023-11-10
756,5,"Achei a resposta perfeita e esclarecedora.",2023-05-30
757,5,"Impressionante, respondeu tudo com clareza.",2023-10-16
758,5,"Resposta clara e completa, me ajudou muito.",2023-04-06
759,4,"A resposta foi bem explicada e direta.",2023-05-18
760,4,"Foi bem útil e quase perfeito.",2023-06-05
761,4,"Gostei, mas poderia ter mais informações.",2023-01-23
762,2,"Esperava uma ajuda mais aprofundada.",2023-12-24
763,5,"Muito satisfeito com o atendimento.",2023-11-17
764,1,"Não consegui encontrar o que precisava.",2023-07-05
765,4,"A resposta foi bem explicada e direta.",2023-05-10
766,3,"Ajudou no geral, mas não foi perfeito.",2023-10-17
767,3,"Ajudou no geral, mas não foi perfeito.",2023-09-24
768,4,"O assistente é bom e prestativo.",2023-04-02
769,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-10-21
770,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-05-03
771,4,"Consegui o que precisava sem dificuldades.",2023-09-24
772,5,"Impressionante, respondeu tudo com clareza.",2023-06-17
773,1,"Não consegui encontrar o que precisava.",2023-11-22
774,4,"A resposta foi bem explicada e direta.",2023-12-04
775,5,"Muito satisfeito com o atendimento.",2023-09-14
776,3,"Consegui entender, mas tive que pesquisar mais.",2023-08-03
777,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-11-16
778,1,"Tive que repetir a pergunta várias vezes.",2023-10-23
779,1,"Tive que repetir a pergunta várias vezes.",2023-10-06
780,1,"A resposta estava incompleta e não foi útil.",2023-05-29
781,3,"Satisfeito, mas poderia ser mais detalhado.",2023-01-11
782,5,"Achei a resposta perfeita e esclarecedora.",2023-06-20
783,1,"Não consegui encontrar o que precisava.",2023-09-01
784,4,"A resposta foi bem explicada e direta.",2023-04-15
785,5,"Impressionante, respondeu tudo com clareza.",2023-10-08
786,4,"O assistente é bom e prestativo.",2023-09-07
787,5,"Resposta clara e completa, me ajudou muito.",2023-01-11
788,1,"Tive que repetir a pergunta várias vezes.",2023-01-26
789,3,"Consegui entender, mas tive que pesquisar mais.",2023-02-05
790,3,"Consegui entender, mas tive que pesquisar mais.",2023-04-26
791,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-05-25
792,4,"Foi bem útil e quase perfeito.",2023-01-16
793,1,"Não consegui encontrar o que precisava.",2023-12-29
794,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-10-11
795,5,"Muito satisfeito com o atendimento.",2023-06-23
796,4,"Gostei, mas poderia ter mais informações.",2023-11-23
797,5,"Resposta clara e completa, me ajudou muito.",2023-06-07
798,4,"A resposta foi bem explicada e direta.",2023-08-23
799,2,"A resposta foi um pouco confusa.",2023-05-02
800,5,"Muito satisfeito com o atendimento.",2023-07-22
801,1,"Não consegui encontrar o que precisava.",2023-10-20
802,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-04-28
803,4,"A resposta foi bem explicada e direta.",2023-12-14
804,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-10-22
805,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-01-10
806,2,"A resposta foi um pouco confusa.",2023-06-12
807,1,"A resposta estava incompleta e não foi útil.",2023-06-02
808,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-08-09
809,1,"Não consegui encontrar o que precisava.",2023-06-24
810,3,"A resposta foi clara, mas faltaram exemplos.",2023-03-25
811,5,"Achei a resposta perfeita e esclarecedora.",2023-01-25
812,2,"A resposta foi um pouco confusa.",2023-01-28
813,4,"Consegui o que precisava sem dificuldades.",2023-11-29
814,5,"Resposta clara e completa, me ajudou muito.",2023-03-24
815,3,"Satisfeito, mas poderia ser mais detalhado.",2023-07-26
816,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-08-08
817,5,"Muito satisfeito com o atendimento.",2023-06-23
818,5,"Impressionante, respondeu tudo com clareza.",2023-02-19
819,1,"Não consegui encontrar o que precisava.",2023-02-07
820,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-12-30
821,4,"A resposta foi bem explicada e direta.",2023-06-03
822,1,"Não consegui encontrar o que precisava.",2023-02-16
823,2,"Esperava uma ajuda mais aprofundada.",2023-09-05
824,3,"Ajudou no geral, mas não foi perfeito.",2023-05-29
825,2,"Respondeu parcialmente, mas não o suficiente.",2023-02-02
826,5,"Achei a resposta perfeita e esclarecedora.",2023-03-08
827,4,"Foi bem útil e quase perfeito.",2023-01-10
828,5,"Resposta clara e completa, me ajudou muito.",2023-03-27
829,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-11-06
830,3,"Consegui entender, mas tive que pesquisar mais.",2023-08-31
831,3,"Ajudou no geral, mas não foi perfeito.",2023-03-07
832,3,"Satisfeito, mas poderia ser mais detalhado.",2023-02-02
833,3,"Satisfeito, mas poderia ser mais detalhado.",2023-05-18
834,2,"A resposta foi um pouco confusa.",2023-08-14
835,3,"Consegui entender, mas tive que pesquisar mais.",2023-04-19
836,4,"O assistente é bom e prestativo.",2023-05-05
837,2,"A resposta foi um pouco confusa.",2023-11-04
838,3,"Consegui entender, mas tive que pesquisar mais.",2023-04-27
839,5,"Resposta clara e completa, me ajudou muito.",2023-11-15
840,4,"A resposta foi bem explicada e direta.",2023-06-12
841,5,"Impressionante, respondeu tudo com clareza.",2023-10-28
842,3,"Ajudou no geral, mas não foi perfeito.",2023-04-05
843,5,"Achei a resposta perfeita e esclarecedora.",2023-10-31
844,1,"Não consegui encontrar o que precisava.",2023-04-22
845,4,"Consegui o que precisava sem dificuldades.",2023-05-29
846,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-07-15
847,5,"Muito satisfeito com o atendimento.",2023-11-08
848,2,"Respondeu parcialmente, mas não o suficiente.",2023-10-11
849,3,"A resposta foi clara, mas faltaram exemplos.",2023-02-18
850,2,"Esperava uma ajuda mais aprofundada.",2023-02-28
851,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-06-22
852,2,"A resposta foi um pouco confusa.",2023-12-01
853,3,"Consegui entender, mas tive que pesquisar mais.",2023-09-25
854,3,"Ajudou no geral, mas não foi perfeito.",2023-09-17
855,3,"Ajudou no geral, mas não foi perfeito.",2023-04-20
856,1,"Não resolveu meu problema.",2023-08-11
857,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-11-12
858,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-08
859,1,"Não resolveu meu problema.",2023-04-25
860,4,"Consegui o que precisava sem dificuldades.",2023-03-16
861,4,"Foi bem útil e quase perfeito.",2023-06-14
862,1,"A resposta estava incompleta e não foi útil.",2023-01-25
863,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-07-01
864,3,"A resposta foi clara, mas faltaram exemplos.",2023-02-10
865,1,"Não resolveu meu problema.",2023-03-12
866,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-07-21
867,4,"Consegui o que precisava sem dificuldades.",2023-04-28
868,5,"A experiência foi excelente, muito prestativo!",2023-03-22
869,5,"Impressionante, respondeu tudo com clareza.",2023-06-16
870,5,"Achei a resposta perfeita e esclarecedora.",2023-03-12
871,5,"Muito satisfeito com o atendimento.",2023-10-19
872,1,"A resposta estava incompleta e não foi útil.",2023-10-02
873,1,"Não consegui encontrar o que precisava.",2023-04-20
874,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-08-29
875,2,"Esperava uma ajuda mais aprofundada.",2023-01-28
876,3,"Consegui entender, mas tive que pesquisar mais.",2023-08-02
877,1,"A resposta estava incompleta e não foi útil.",2023-01-12
878,2,"Foi útil em partes, mas faltou precisão.",2023-01-22
879,2,"A resposta foi um pouco confusa.",2023-03-04
880,3,"Consegui entender, mas tive que pesquisar mais.",2023-07-17
881,3,"Satisfeito, mas poderia ser mais detalhado.",2023-06-20
882,5,"Muito satisfeito com o atendimento.",2023-03-29
883,1,"A resposta estava incompleta e não foi útil.",2023-01-19
884,1,"Não consegui encontrar o que precisava.",2023-06-26
885,4,"Foi bem útil e quase perfeito.",2023-09-12
886,2,"Foi útil em partes, mas faltou precisão.",2023-10-26
887,3,"Satisfeito, mas poderia ser mais detalhado.",2023-11-04
888,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-12-18
889,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-09-06
890,5,"Achei a resposta perfeita e esclarecedora.",2023-04-08
891,4,"A resposta foi bem explicada e direta.",2023-06-01
892,4,"A resposta foi bem explicada e direta.",2023-10-29
893,3,"Consegui entender, mas tive que pesquisar mais.",2023-08-29
894,3,"Consegui entender, mas tive que pesquisar mais.",2023-12-18
895,5,"A experiência foi excelente, muito prestativo!",2023-01-19
896,4,"O assistente é bom e prestativo.",2023-11-11
897,2,"Foi útil em partes, mas faltou precisão.",2023-10-26
898,4,"O assistente é bom e prestativo.",2023-03-02
899,5,"Muito satisfeito com o atendimento.",2023-09-09
900,1,"A resposta estava incompleta e não foi útil.",2023-11-04
901,5,"Resposta clara e completa, me ajudou muito.",2023-08-23
902,1,"A resposta estava incompleta e não foi útil.",2023-04-20
903,2,"Foi útil em partes, mas faltou precisão.",2023-04-17
904,2,"A resposta foi um pouco confusa.",2023-12-12
